Academy College (Bloomington, MN)
Adler Graduate School (Minnetonka, MN)
Alexandria Technical & Community College (Alexandria, MN)
American Academy of Acupuncture and Oriental Medicine (Roseville, MN)
American Indian OIC Inc (Minneapolis, MN)
Anoka Technical College (Anoka, MN)
Anoka-Ramsey Community College (Coon Rapids, MN)
Augsburg University (Minneapolis, MN)
Avalon School of Cosmetology (Worthington, MN)
Aveda Institute Des Moines - Aveda Institute Rochester (Rochester, MN)
Aveda Institute-Minneapolis (Minneapolis, MN)
Bemidji State University (Bemidji, MN)
Bethany Global University (Bloomington, MN)
Bethany Lutheran College (Mankato, MN)
Bethel University (Saint Paul, MN)
Bethlehem College & Seminary (Minneapolis, MN)
Capella University (Minneapolis, MN)
Carleton College (Northfield, MN)
CenterPoint Massage & Shiatsu Therapy School & Clinic (Bloomington, MN)
Central Lakes College-Brainerd (Brainerd, MN)
Century College (White Bear Lake, MN)
College of Saint Benedict (Saint Joseph, MN)
Concordia College at Moorhead (Moorhead, MN)
Concordia University-Saint Paul (Saint Paul, MN)
Cosmetology Careers Unlimited College of Hair Skin and Nails (Duluth, MN)
Crown College (Saint Bonifacius, MN)
Dakota County Technical College (Rosemount, MN)
Dunwoody College of Technology (Minneapolis, MN)
Empire Beauty School-Bloomington (Bloomington, MN)
Empire Beauty School-Spring Lake Park (Spring Lake Park, MN)
Fond du Lac Tribal and Community College (Cloquet, MN)
Gustavus Adolphus College (Saint Peter, MN)
Hamline University (Saint Paul, MN)
Hastings Beauty School (Hastings, MN)
Hazelden Betty Ford Graduate School of Addiction Studies (Center City, MN)
Hennepin Technical College (Brooklyn Park, MN)
Herzing University-Minneapolis (St. Louis Park, MN)
Hibbing Community College (Hibbing, MN)
Institute of Production and Recording (Minneapolis, MN)
Inver Hills Community College (Inver Grove Heights, MN)
Itasca Community College (Grand Rapids, MN)
Lake Superior College (Duluth, MN)
Leech Lake Tribal College (Cass Lake, MN)
Luther Seminary (Saint Paul, MN)
Macalester College (Saint Paul, MN)
Martin Luther College (New Ulm, MN)
Mayo Clinic College of Medicine and Science (Rochester, MN)
Mesabi Range College (Virginia, MN)
Metropolitan State University (Saint Paul, MN)
Minneapolis College of Art and Design (Minneapolis, MN)
Minneapolis Community and Technical College (Minneapolis, MN)
Minnesota School of Cosmetology-Plymouth Campus (Plymouth, MN)
Minnesota School of Cosmetology-Woodbury Campus (WOODBURY, MN)
Minnesota State College Southeast (Winona, MN)
Minnesota State Colleges and Universities System Office (ST PAUL, MN)
